AGE_R,CNT_BRTH,YEARS_IN_COUNTRY,AN_INCOME,STUDY,PVLIT1,PVLIT2,PVLIT3,PVLIT4,PVLIT5,PVLIT6,PVLIT7,PVLIT8,PVLIT9,PVLIT10,PVNUM1,PVNUM2,PVNUM3,PVNUM4,PVNUM5,PVNUM6,PVNUM7,PVNUM8,PVNUM9,PVNUM10
43,826,3,1,6,249.15328,282.95471,280.24149,276.3454,267.82443,302.01676,268.30821,288.57007,286.88153,297.46071,302.5997,311.42115,314.53748,294.34328,303.08398,323.10176,324.70154,298.31421,321.04885,343.28651
38,826,3,4,16,338.65711,337.36714,299.67466,342.14808,374.19576,325.87766,310.60315,361.62787,315.08087,282.01733,362.85444,320.38337,299.65825,301.78433,357.89233,306.66095,300.27502,347.6784,285.59191,262.62323
33,826,3,3,6,281.70169,312.82408,257.1206,331.65061,274.53969,296.60176,301.40417,266.25187,323.8784,303.29471,274.07271,307.59821,248.7641,318.32205,307.8572,304.99206,297.17619,285.27104,303.38684,311.18932
23,826,3,,6,279.62135,259.02297,243.63725,237.03692,243.22335,228.97831,265.17317,240.6135,244.05292,255.41826,243.51198,235.25373,248.88062,231.41455,224.67556,231.15309,228.81724,209.96691,224.49589,233.68854
45,826,3,,11,287.28636,271.44487,265.21736,284.32781,246.23145,255.46285,271.72597,273.77069,264.98001,274.43613,245.57977,216.70033,232.22047,274.32714,216.38875,245.31029,224.08647,234.93759,273.82176,235.05194
50,826,3,0,11,296.65623,259.19823,296.71056,290.68005,295.64935,277.09779,272.4691,275.36745,257.46863,257.68298,286.37015,268.34066,244.51352,261.62965,246.15334,273.01181,252.52765,251.13431,247.67001,230.06882
36,826,3,2,4,237.12923,210.31368,228.5841,234.02041,239.95261,187.8326,204.93329,190.1842,200.75528,217.82385,263.93582,219.6056,236.71725,226.9978,240.47336,230.12868,224.6092,213.32428,199.63624,245.40948
34,826,3,4,16,325.57495,386.0709,365.5051,333.81991,358.04232,370.49244,351.56547,342.79891,365.05943,339.5514,332.99918,356.19094,343.27551,342.64134,338.1962,331.16323,369.02885,354.97636,356.06869,322.46229
29,826,3,3,11,302.10042,302.98658,286.44549,310.67292,315.83371,311.43007,315.5726,321.68551,320.88185,319.27147,259.9815,280.6512,273.17479,278.96404,284.17217,285.23784,288.25291,280.30547,297.22119,299.40036
61,76,1,2,11,243.17699,270.9341,220.41963,263.47448,290.71051,225.93499,264.66286,271.31369,227.56414,274.79271,177.8113,190.71709,197.88442,231.87164,261.4725,179.90518,216.43328,247.33681,207.51082,203.68589
37,826,3,3,6,319.51821,306.9036,322.62338,339.54187,316.25151,317.36279,291.68119,293.07371,326.38803,302.58763,340.82567,303.69545,319.87858,320.28172,325.33995,345.50463,330.1015,328.14351,312.3937,314.82181
42,826,3,3,11,290.72464,286.73885,283.6385,292.6548,305.49334,302.99035,294.46466,309.33033,315.9417,284.74154,266.20387,268.70862,268.50147,279.52697,278.94534,267.55057,282.54162,263.76804,277.30235,282.18215
40,826,3,4,4,304.22325,296.28496,298.12185,286.30621,268.3239,294.16068,292.55228,273.45035,288.72019,314.21886,284.13901,266.48614,279.11189,261.16081,279.77513,273.69078,278.22789,290.09017,282.3773,302.15773
